,kf,n,Kin,MBPT_HF,MBPT_2,MBPT_3,MBPT_4,total,Lambda,OrderEFT,Body,x,fit
117,1.6795,0.32,35.09352,-40.40516,-9.45138,0.32979,-0.007340000000000123,-14.44108020362546,450,LO,NN+3N,0.5,
118,1.69682,0.33,35.82087999999999,-41.42519,-9.28316,0.3369399999999999,-0.05587999999999972,-14.601704215245263,450,LO,NN+3N,0.5,
119,1.71379,0.34,36.54093,-42.43584,-9.11386,0.3390100000000001,-0.08125999999999989,-14.758258842153737,450,LO,NN+3N,0.5,
120,1.13972,0.05,16.16071,-5.22628,-2.2209,-0.08396999999999992,-0.04309000000000002,8.576557083796843,500,LO,NN-only,0.0,
121,1.2111299999999998,0.06,18.249370000000006,-6.1322,-2.43085,0.011699999999999931,-0.04274999999999996,9.665239707040428,500,LO,NN-only,0.0,
122,1.27499,0.07,20.22456,-7.0181,-2.59647,0.10494999999999988,-0.053700000000000025,10.676192265378177,500,LO,NN-only,0.0,
123,1.33302,0.08,22.10753,-7.886589999999999,-2.72451,0.19098999999999994,-0.06849000000000002,11.628486035675678,500,LO,NN-only,0.0,
124,1.3864,0.09,23.91344,-8.739519999999999,-2.82162,0.2690500000000001,-0.08460999999999996,12.535404785160381,500,LO,NN-only,0.0,
125,1.43595,0.1,25.65352,-9.57825,-2.89166,0.34031999999999996,-0.10509000000000003,13.40602714398824,500,LO,NN-only,0.0,
126,1.48231,0.11,27.33645,-10.40381,-2.93922,0.40064,-0.1295900000000001,14.247547448525438,500,LO,NN-only,0.0,
127,1.52593,0.12,28.96906,-11.21701,-2.96786,0.4526200000000001,-0.15108,15.064634261471383,500,LO,NN-only,0.0,
128,1.56719,0.13,30.556890000000006,-12.01852,-2.9805200000000003,0.4976200000000001,-0.17098999999999998,15.86130147797644,500,LO,NN-only,0.0,
129,1.60639,0.14,32.10448,-12.80884,-2.97896,0.5324899999999999,-0.1926000000000001,16.640563965193223,500,LO,NN-only,0.0,
130,1.64376,0.15,33.61562,-13.58844,-2.96519,0.56313,-0.21613000000000004,17.40446397645178,500,LO,NN-only,0.0,
131,1.6795,0.16,35.09352,-14.35769,-2.94232,0.58609,-0.23253000000000001,18.15476311220698,500,LO,NN-only,0.0,
132,1.71379,0.17,36.54093,-15.11691,-2.91111,0.60601,-0.2416500000000001,18.893106398712405,500,LO,NN-only,0.0,
133,1.74675,0.18,37.96021,-15.86639,-2.87296,0.6163,-0.25631999999999994,19.620095965611426,500,LO,NN-only,0.0,
134,1.77852,0.19,39.35344,-16.60639,-2.8289,0.6239100000000001,-0.26791,20.336977092175403,500,LO,NN-only,0.0,
135,1.80919,0.2,40.72243,-17.33711,-2.78045,0.62844,-0.2679300000000001,21.04406835602336,500,LO,NN-only,0.0,
136,1.83885,0.21,42.06877,-18.05878,-2.72854,0.62805,-0.2766100000000001,21.741836479381448,500,LO,NN-only,0.0,
137,1.86759,0.22,43.39391,-18.5633,-2.66065,0.6220399999999999,-0.2805599999999999,22.430902813763055,500,LO,NN-only,0.0,
138,1.89547,0.23,44.69911,-19.2491,-2.60407,0.61711,-0.2856999999999999,23.1113069903016,500,LO,NN-only,0.0,
139,1.92255,0.24,45.98552,-19.92591,-2.54558,0.6102599999999999,-0.28648,23.783196042390102,500,LO,NN-only,0.0,
140,1.94889,0.25,47.25419,-20.59389,-2.48671,0.6013399999999999,-0.28491999999999995,24.446826202261978,500,LO,NN-only,0.0,
141,1.97453,0.26,48.50605,-21.25322,-2.42682,0.59155,-0.28509,25.102047623507374,500,LO,NN-only,0.0,
142,1.99953,0.27,49.74195,-21.90408,-2.3665700000000003,0.58024,-0.2807000000000001,25.749311152495544,500,LO,NN-only,0.0,
143,2.02392,0.28,50.96269,-22.54661,-2.30592,0.5679600000000001,-0.27985,26.388380887558625,500,LO,NN-only,0.0,
144,2.04773,0.29,52.16898,-23.18098,-2.2463,0.55492,-0.27552,27.01908549140623,500,LO,NN-only,0.0,
145,2.071,0.3,53.36147,-23.80732,-2.18701,0.54125,-0.27005,27.641586824087824,500,LO,NN-only,0.0,
146,2.09376,0.31,54.54079,-24.42579,-2.12812,0.52655,-0.2658000000000001,28.255848055709578,500,LO,NN-only,0.0,
147,2.1160400000000004,0.32,55.70749,-25.03651,-2.0706,0.51288,-0.25988,28.861892152639257,500,LO,NN-only,0.0,
148,2.13786,0.33,56.86211,-25.63961,-2.0139,0.49828,-0.25371999999999995,29.45952436622639,500,LO,NN-only,0.0,
149,2.15924,0.34,58.00511,-26.23524,-1.95832,0.48383,-0.24960999999999994,30.048597570242748,500,LO,NN-only,0.0,
150,0.90459,0.05,10.18061,-6.9405800000000015,-8.79308,-0.93018,-0.3810199999999999,-6.881062032543014,500,LO,NN-only,0.5,
151,0.96127,0.06,11.49638,-8.10967,-9.87849,-0.8272299999999999,-0.01940000000000097,-7.3213627041295695,500,LO,NN-only,0.5,
152,1.01196,0.07,12.74067,-9.24847,-10.82698,-0.7149600000000002,0.32859000000000016,-7.700940555626403,500,LO,NN-only,0.5,
153,1.0580200000000002,0.08,13.92687,-10.36195,-11.65884,-0.6012599999999999,0.6481399999999988,-8.035775659045612,500,LO,NN-only,0.5,
154,1.10038,0.09,15.064520000000002,-11.45373,-12.38495,-0.4906400000000001,0.9206799999999999,-8.336243943244881,500,LO,NN-only,0.5,
155,1.13972,0.1,16.16071,-12.5265,-13.01725,-0.3831199999999999,1.166059999999999,-8.609493291479339,500,LO,NN-only,0.5,
156,1.17651,0.11,17.220879999999998,-13.58236,-13.56786,-0.28504,1.3711300000000015,-8.860323666915974,500,LO,NN-only,0.5,
157,1.2111299999999998,0.12,18.249370000000006,-14.62296,-14.04274,-0.1869400000000001,1.5428600000000008,-9.09236372804844,500,LO,NN-only,0.5,
158,1.24388,0.13,19.24964,-15.64962,-14.45306,-0.10182000000000002,1.6756699999999984,-9.308335481922768,500,LO,NN-only,0.5,
159,1.27499,0.14,20.22456,-16.66346,-14.80332,-0.02015999999999996,1.80537,-9.510253023117002,500,LO,NN-only,0.5,
160,1.30465,0.15,21.17651,-17.66538,-15.10106,0.05184999999999995,1.8722,-9.699705561639348,500,LO,NN-only,0.5,
161,1.33302,0.16,22.10753,-18.65616,-15.35055,0.1211,1.8989,-9.877975704867822,500,LO,NN-only,0.5,
162,1.3602299999999998,0.17,23.01934,-19.63646,-15.555420000000002,0.18227,1.9329099999999988,-10.046077111222075,500,LO,NN-only,0.5,
163,1.3864,0.18,23.91344,-20.60683,-15.7221,0.23898000000000003,1.939599999999997,-10.204904274177352,500,LO,NN-only,0.5,
164,1.41161,0.19,24.79111,-21.56778,-15.85348,0.2885200000000001,1.883140000000001,-10.355068899871185,500,LO,NN-only,0.5,
165,1.43595,0.2,25.65352,-22.51973,-15.95198,0.33368000000000003,1.88905,-10.49721632566252,500,LO,NN-only,0.5,
166,1.4595,0.21,26.50167,-23.46305,-16.02147,0.37863,1.86404,-10.631908669961376,500,LO,NN-only,0.5,
167,1.48231,0.22,27.33645,-24.26467,-15.93728,0.4149600000000001,1.7557999999999991,-10.759520609602077,500,LO,NN-only,0.5,
168,1.50443,0.23,28.15867,-25.17741,-15.949320000000002,0.44714,1.6886900000000011,-10.880420127472462,500,LO,NN-only,0.5,
169,1.52593,0.24,28.96906,-26.08176,-15.94106,0.4765299999999999,1.6201999999999988,-10.995073226178647,500,LO,NN-only,0.5,
170,1.54683,0.25,29.76827,-26.97798,-15.91296,0.50302,1.5438799999999997,-11.103670036965923,500,LO,NN-only,0.5,
171,1.56719,0.26,30.556890000000006,-27.8663,-15.86705,0.5256,1.4684300000000017,-11.206606588631985,500,LO,NN-only,0.5,
172,1.58703,0.27,31.33547,-28.74695,-15.80632,0.5461600000000001,1.3767499999999997,-11.30406783088074,500,LO,NN-only,0.5,
173,1.60639,0.28,32.10448,-29.62012,-15.73027,0.56314,1.2894499999999989,-11.396336472978874,500,LO,NN-only,0.5,
174,1.62529,0.29,32.8644,-30.48598,-15.642970000000002,0.5784100000000001,1.205070000000001,-11.483595178297037,500,LO,NN-only,0.5,
175,1.64376,0.3,33.61562,-31.34471,-15.54186,0.5931599999999998,1.1086200000000002,-11.566071822813683,500,LO,NN-only,0.5,
176,1.66182,0.31,34.35855,-32.19647,-15.43194,0.6039899999999999,1.0215100000000028,-11.643945902742416,500,LO,NN-only,0.5,
177,1.6795,0.32,35.09352,-33.0414,-15.31417,0.6120399999999999,0.9237499999999992,-11.717436561608338,500,LO,NN-only,0.5,
178,1.69682,0.33,35.82087999999999,-33.87963,-15.18736,0.6198,0.8366999999999996,-11.786715189025927,500,LO,NN-only,0.5,
179,1.71379,0.34,36.54093,-34.7113,-15.05181,0.62575,0.7508800000000004,-11.85191218046566,500,LO,NN-only,0.5,
180,1.13972,0.05,16.16071,-5.22628,-2.2209,-0.08396999999999992,-0.04309000000000002,8.585472085715082,500,LO,NN+3N,0.0,
181,1.2111299999999998,0.06,18.249370000000006,-6.1322,-2.43085,0.011699999999999931,-0.04274999999999996,9.652650662173073,500,LO,NN+3N,0.0,
182,1.27499,0.07,20.22456,-7.0181,-2.59647,0.10494999999999988,-0.053700000000000025,10.665047209987279,500,LO,NN+3N,0.0,
183,1.33302,0.08,22.10753,-7.886589999999999,-2.72451,0.19098999999999994,-0.06849000000000002,11.625930645810513,500,LO,NN+3N,0.0,
184,1.3864,0.09,23.91344,-8.739519999999999,-2.82162,0.2690500000000001,-0.08460999999999996,12.541323091460981,500,LO,NN+3N,0.0,
185,1.43595,0.1,25.65352,-9.57825,-2.89166,0.34031999999999996,-0.10509000000000003,13.41740087324797,500,LO,NN+3N,0.0,
186,1.48231,0.11,27.33645,-10.40381,-2.93922,0.40064,-0.1295900000000001,14.260687729159145,500,LO,NN+3N,0.0,
187,1.52593,0.12,28.96906,-11.21701,-2.96786,0.4526200000000001,-0.15108,15.0762677009061,500,LO,NN+3N,0.0,
188,1.56719,0.13,30.556890000000006,-12.01852,-2.9805200000000003,0.4976200000000001,-0.17098999999999998,15.869039533979958,500,LO,NN+3N,0.0,
189,1.60639,0.14,32.10448,-12.80884,-2.97896,0.5324899999999999,-0.1926000000000001,16.643028941934062,500,LO,NN+3N,0.0,
190,1.64376,0.15,33.61562,-13.58844,-2.96519,0.56313,-0.21613000000000004,17.40123641092032,500,LO,NN+3N,0.0,
191,1.6795,0.16,35.09352,-14.35769,-2.94232,0.58609,-0.23253000000000001,18.146233529353594,500,LO,NN+3N,0.0,
192,1.71379,0.17,36.54093,-15.11691,-2.91111,0.60601,-0.2416500000000001,18.880287437299557,500,LO,NN+3N,0.0,
193,1.74675,0.18,37.96021,-15.86639,-2.87296,0.6163,-0.25631999999999994,19.60443126917835,500,LO,NN+3N,0.0,
194,1.77852,0.19,39.35344,-16.60639,-2.8289,0.6239100000000001,-0.26791,20.320149201200365,500,LO,NN+3N,0.0,
195,1.80919,0.2,40.72243,-17.33711,-2.78045,0.62844,-0.2679300000000001,21.027829940728225,500,LO,NN+3N,0.0,
196,1.83885,0.21,42.06877,-18.05878,-2.72854,0.62805,-0.2766100000000001,21.72785817789736,500,LO,NN+3N,0.0,
